Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Quality Control,7a  **,Lead RP,"DavidMcK, JayAyBee, Daniel Grout, Sid Sherborne","2nd go today, despite that I onsighted it last year. Slowly getting back into it.",02/Apr/21,Chee Dale Upper,Sport,French,England
Rake It In,6b+  **,Lead O/S,Daniel Grout,,31/Mar/21,Deep Rake,Sport,French,England
Couch to 8a,7b  **,Lead dog,Daniel Grout,4 or so redpoint goes. Keen to go back and finish this off,31/Mar/21,Deep Rake,Sport,French,England
Great British Rake Off,6a  *,Lead O/S,Katiek,,31/Mar/21,Deep Rake,Sport,French,England
Afloat in the Moat,6c+  *,Lead RP,JayAyBee,"3rd go, First lead climb in 5 months. Good to be back on the rock! James you're a bastard for onsighting this when you were like 4 years old",27/Mar/21,Water-cum-Jolly,Sport,French,England
Oh Dear!,6c  *,TR dog,JayAyBee,"First route of the day and first time back on rock for about 3 months, first time on a rope in about 5. Just glad that no tendons snapped!",27/Mar/21,Water-cum-Jolly,Sport,French,England
Small is Beautiful,V6  ***,Sent dnf,Sid Sherborne,Long moves!,25/Feb/21,Burbage North,Bouldering,Font,England
Remergence Start,V4  ***,Sent β,Sid Sherborne,,25/Feb/21,Burbage North,Bouldering,Font,England
Lost in France,VS 5c *,Sent β,Sid Sherborne,,25/Feb/21,Burbage North,Trad,British,England
The Curse,VS 5b *,Sent O/S,Sid Sherborne,,25/Feb/21,Burbage North,Trad,British,England
The Chant,HVS 5a *,Sent O/S,Sid Sherborne,,25/Feb/21,Burbage North,Trad,British,England
North Roof,V3+  *,Sent O/S,,,25/Feb/21,Burbage North,Bouldering,Font,England
Route 1,HS 4b *,Sent O/S,,,25/Feb/21,Burbage North,Trad,British,England
Route 2,S 4a *,Sent O/S,,,25/Feb/21,Burbage North,Trad,British,England
Route 3,VD 4a *,Sent O/S,,,25/Feb/21,Burbage North,Trad,British,England
20 Foot Crack,S 4b *,Sent O/S,,,25/Feb/21,Burbage North,Trad,British,England
The Hanging Rib,V4  ***,Sent O/S,Sid Sherborne,,25/Feb/21,Burbage North,Bouldering,Font,England
Slot Wall One,V3+  *,Sent x,,Awkward single move off the deck.,???/2021,Torridon Celtic Jumble,Bouldering,Font,Scotland
Hot Toddy,V6  *,Sent dnf,Sid Sherborne,"Good problem, couldn't quite work out how to get up and left",24/Dec/20,Froggatt Edge,Bouldering,Font,England
The Eyes Direct,V6  *,Sent dnf,Sid Sherborne,Didn't quite have the reach for this and fingers not strong enough to compensate (atm),24/Dec/20,Froggatt Edge,Bouldering,Font,England
Care Bear,V1  *,Sent β,Sid Sherborne,,24/Dec/20,Froggatt Edge,Bouldering,Font,England
The Broken Chair,V4  *,Sent x,Sid Sherborne,,24/Dec/20,Froggatt Edge,Bouldering,Font,England
Oedipus Start,V4  ***,Sent x,Sid Sherborne,Brilliant problem. Loved the move to the flake.,24/Dec/20,Froggatt Edge,Bouldering,Font,England
Oedipus Direct,V4+  *,Sent dnf,Sid Sherborne,"Just short of the reach required, look forward to the successful deadpoint.",24/Dec/20,Froggatt Edge,Bouldering,Font,England
Hanging Wall,V6  **,Sent dnf,"Augustin Moinat, Niamh Gibson",Found the slap to the lip/pocket very frustrating ,22/Dec/20,Burbage North,Bouldering,Font,England
Hanging Wall Stand-start,V5  *,Sent x,,"Got this 2nd go, then started trying the sit .... 30 goes later....",22/Dec/20,Burbage North,Bouldering,Font,England
Mini Crack,V0+  *,Sent O/S,Sid Sherborne,,20/Dec/20,Curbar Edge,Bouldering,Font,England
Mini-Prow,V1  **,Sent x,"EddieTJ, Sid Sherborne, Niamh Gibson",,20/Dec/20,Curbar Edge,Bouldering,Font,England
Early Doors,V7  ***,Sent dnf,"EddieTJ, Sid Sherborne, Niamh Gibson","Worked the crux and topped out, starting from the high heel on GWF. Had a convincing go from the start but session was ended by an awkward fall which twisted my knee. Keen to go back and finish this.",20/Dec/20,Curbar Edge,Bouldering,Font,England
Curbar Corner,V1  ***,Sent β,"Niamh Gibson, Sid Sherborne, EddieTJ",Lovely,20/Dec/20,Curbar Edge,Bouldering,Font,England
Little Stiffer,V3  *,Sent β,"EddieTJ, Sid Sherborne, Niamh Gibson",Great snatchy crux,20/Dec/20,Curbar Edge,Bouldering,Font,England
Too Hard for Mark Leach,V5  **,Sent rpt,Niamh Gibson,,17/Dec/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Ben's Roof,V10  **,Sent dnf,"Sid Sherborne, Niamh Gibson",Attempting links from the sideways kneebar to the finish. Still need to find a more reliable method for THFML. Also need to work the rest of the problem up to this point (the majority of the actual hard climbing).,17/Dec/20,Raven Tor (Miller's Dale),Bouldering,Font,England
Whip Me Whip Me,V7  *,Sent x,Sid Sherborne,Feet first with a kneebar and toe-hook combo. Felt a couple of grades easier this way.,15/Dec/20,Baslow Edge,Bouldering,Font,England
Complete Nutter,V2  *,Sent β,Sid Sherborne,,15/Dec/20,Baslow Edge,Bouldering,Font,England
Nut Job,V2  *,Sent β,Sid Sherborne,,15/Dec/20,Baslow Edge,Bouldering,Font,England
Faith Left Hand,V7  **,Sent x,Sid Sherborne,"Good problem, took 1.5 sessions.",28/Nov/20,Roche Abbey,Bouldering,Font,England
Justice,V6  *,Sent dnf,"Niamh Gibson, Sid Sherborne","Brilliant moves!
Worked this after Faith LH and didn't quite have enough left to finish it in one session. Keen to get back on this.",28/Nov/20,Roche Abbey,Bouldering,Font,England
The Scoop,V2  **,Sent O/S,,,26/Nov/20,Ramshaw Rocks,Bouldering,Font,England
Ossie's Bulge,V4+  ***,Sent β,,,26/Nov/20,Ramshaw Rocks,Bouldering,Font,England
Easy Prow,V0+  **,Sent O/S,,,26/Nov/20,Ramshaw Rocks,Bouldering,Font,England
Night of Lust Start,V5+  ***,Sent dnf,,Just don't seem strong enough (yet) to pull through to the flake and finish. Hoping this goes quick when fresher.,26/Nov/20,Ramshaw Rocks,Bouldering,Font,England
Foord's Folly Start,V3  **,Sent dnf,,"Found this hilariously hard, and painful. Unfinished business!",26/Nov/20,Ramshaw Rocks,Bouldering,Font,England
Scratch Arête,V5  *,Sent x,Sid Sherborne,"Thought the slappy moves on the slopers were nails. Fluked it once and kept going to the top despite my feet slipping off. An awesome, desperate, memorable fight.",22/Nov/20,Newstones and Baldstones,Bouldering,Font,England
Crack and Arête,V3+  **,Sent x,Sid Sherborne,,22/Nov/20,Newstones and Baldstones,Bouldering,Font,England
Ripple,V4+  ***,Sent x,Sid Sherborne,"Nice, very aesthetic problem. Suited me well.",22/Nov/20,Newstones and Baldstones,Bouldering,Font,England
Coffee & Wallnut Cake,V2  *,Sent O/S,Sid Sherborne,Nice little problem. Wasn't in guide but other buttresses were crowded and this looked good.,22/Nov/20,Newstones and Baldstones,Bouldering,Font,England
S & M,V7  ***,Sent dnf,Sid Sherborne,Got reasonably close on this but my left shoulder started to hurt just hanging the sloper.,22/Nov/20,Newstones and Baldstones,Bouldering,Font,England
Bad Habits Sit Start,V6  ***,Sent x,,,15/Nov/20,Roche Abbey,Bouldering,Font,England
Sundance,V5+  **,Sent x,,,15/Nov/20,Roche Abbey,Bouldering,Font,England
Habitus sit start,V4  **,Sent x,,,15/Nov/20,Roche Abbey,Bouldering,Font,England
The Abbey Habit Start ,V3+  ,Sent O/S,,,15/Nov/20,Roche Abbey,Bouldering,Font,England
Sick,V3  **,Sent x,,Gutted after Sid offered a beer for the O/S,13/Nov/20,Higgar Tor,Bouldering,Font,England
Quintessential Higgarisms,V6  *,Sent dnf,Sid Sherborne,Tried this for a while but was either too tired or didn't 'get it',13/Nov/20,Higgar Tor,Bouldering,Font,England
Hemline,V7  **,Sent dnf,Sid Sherborne,I wasn't remotely fresh but it was good to feel the holds and work out some of the moves.,13/Nov/20,Higgar Tor,Bouldering,Font,England
Tall Arête,HVS 5b *,Sent O/S,Sid Sherborne,Quite scary at 23:30,13/Nov/20,Higgar Tor,Trad,British,England
Ledge Wall,V0+  ,Sent O/S,Sid Sherborne,A bit scary at night though less so than Tall Arete,13/Nov/20,Higgar Tor,Bouldering,V-grades,England
Sloper,V3  ,Sent β,Niamh Gibson,,08/Nov/20,Roche Abbey,Bouldering,Font,England
Strict Fore,V4+  ,Sent x,Niamh Gibson,,08/Nov/20,Roche Abbey,Bouldering,Font,England
Gilda,V0+  ,Sent O/S,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Rigoletto,V4  ,Sent x,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
October,V3+  ,Sent x,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Scoop,V2  ,Sent O/S,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Flautist,V4+  ,Sent x,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Cracker,V0+  ,Sent O/S,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Flake,V2  ,Sent O/S,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Lanky,V3  ,Sent x,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Crystal,V5  ,Sent x,"Sid Sherborne, Niamh Gibson",,08/Nov/20,Roche Abbey,Bouldering,Font,England
Cock 'O The Rock,V6  ***,Sent x,"Sid Sherborne, Niamh Gibson",,07/Nov/20,Stanage North,Bouldering,Font,England
Historical Arête,V4  *,Sent β,"Sid Sherborne, Niamh Gibson",,07/Nov/20,Stanage North,Bouldering,Font,England
Central Buttress Direct,V5  **,Sent dnf,Sid Sherborne,Didn't quite get the hang of the rock-over. One to come back for.,07/Nov/20,Stanage North,Bouldering,Font,England
Cock Crack,V2  ,Sent O/S,Sid Sherborne,Very good climb this!,07/Nov/20,Stanage North,Bouldering,Font,England
Rubicon,7a  ***,Lead β,"Sid Sherborne, Niamh Gibson",,31/Oct/20,Water-cum-Jolly,Sport,French,England
Miller's Tail Eliminate (avoid holds on R),V5+  ,Sent x,"Sid Sherborne, Niamh Gibson","Good eliminate problem, front on pulling with small edges. Also did a great variant with Sid, using only holds on the right - bit more interesting with a twistier, more 3D style",28/Oct/20,Water-cum-Jolly,Bouldering,Font,England
A Miller's Tale Start,V4+  **,Sent O/S,"Sid Sherborne, Niamh Gibson","First problem of the night, should perhaps have warmed up the fingers a bit more. Either way, a good problem.",28/Oct/20,Water-cum-Jolly,Bouldering,Font,England
Kudos,V8  **,Sent dnf,"Sid Sherborne, Niamh Gibson",Getting close but was just a bit too tired by the end of the session. ,28/Oct/20,Water-cum-Jolly,Bouldering,Font,England
Right Eliminate,E3 5c ***,2nd O/S,"Luke Horne, Daniel Grout",Found the first half steady but thought the slightly wider bit past the lip was nails as was less sure of technique for that size. Keen to come back.,25/Oct/20,Curbar Edge,Trad,British,England
Left Eliminate,E1 5c **,Lead O/S,Daniel Grout,Found this a proper struggle but I did kind of want one!,25/Oct/20,Curbar Edge,Trad,British,England
Trackside,V6  ***,Sent x,Luke Horne,"Pleased to get this in the last half hour of daylight, after a cracking day on gnarly offwidths. Cheers Luke for the beta.",25/Oct/20,Curbar Edge,Bouldering,Font,England
Linden,E6 6b ***,TR,Pete Wilson,Hard crux followed by sustained crimping. Not sure I'd ever want to lead this but a great climb to try regardless.,25/Oct/20,Curbar Edge,Trad,British,England
Consenting Adults,7a  **,Lead β,"EddieTJ, EGriffin",,18/Oct/20,Malham Cove,Sport,French,England
Obsession,7b+  ***,Lead dog,EGriffin,"Found each of the cruxes pretty steady on the bolt to bolt go and then got hopelessly shutdown on every redpoint attempt throughout the day. One to come back for, and soon!",18/Oct/20,Malham Cove,Sport,French,England
Little big pocket,V4  ,Sent rpt,"EGriffin, Steely12, Sid Sherborne, Niamh Gibson",,17/Oct/20,Anston Stones Wood,Bouldering,Font,England
Reservation blocker,V7  **,Sent x,"EGriffin, Sid Sherborne",,17/Oct/20,Anston Stones Wood,Bouldering,Font,England
Alpha Stand Start,V5+  ,Sent x,"EGriffin, Sid Sherborne",Harder than 6b+ surely?,17/Oct/20,Anston Stones Wood,Bouldering,Font,England
Beta Blocker,V6  *,Sent rpt,"EGriffin, Sid Sherborne",,17/Oct/20,Anston Stones Wood,Bouldering,Font,England
Razor Roof,V5  ***,Sent dnf,EGriffin,,11/Oct/20,Cratcliffe Tor,Bouldering,Font,England
Middle Slab,V0  *,Sent O/S,EGriffin,,11/Oct/20,Cratcliffe Tor,Bouldering,Font,England
Suicide Wall,HVS 5b ***,Lead rpt,Charlie Henderson,"lovely, as ever.",11/Oct/20,Cratcliffe Tor,Trad,British,England
Middle Slab Right,V2  *,Sent x,,Only on a grit V2 would you have to do a pistol squat start - brilliant!,11/Oct/20,Cratcliffe Tor,Bouldering,Font,England
Five Finger Exercise,E2 5c ***,Lead O/S,Charlie Henderson,Great to do this and redeem some owl-gully credit after needing a 2nd go on Fern Hill,11/Oct/20,Cratcliffe Tor,Trad,British,England
Diamond Wednesday,HVS 5a *,2nd O/S,Steely12,,26/Sep/20,Roaches Upper Tier,Trad,British,England
The Sloth,HVS 5a ***,2nd O/S,Steely12,Nice to finally get on this. Properly burly!,26/Sep/20,Roaches Upper Tier,Trad,British,England
Central Route,VS 4a **,2nd O/S,Steely12,,26/Sep/20,Roaches Upper Tier,Trad,British,England
Resurrection,E4 6a ***,Lead O/S,Rory Morris,"Beautiful wall climb with plenty of gear, except for the thrilling finale. Enjoyed every   minute on this.",20/Sep/20,Dinas Cromlech,Trad,British,Wales
Memory Lane,E3 5c **,2nd O/S,Rory Morris,"Good lead from Rory, thought this was hard and sharp (though perhaps my skin was just worn)",20/Sep/20,Dinas Cromlech,Trad,British,Wales
Left Wall Direct Finish,E3 5c ***,2nd O/S,Rory Morris,As good as I've heard. Thought the direct finish was logical and added to the route.,20/Sep/20,Dinas Cromlech,Trad,British,Wales
Warpath,E5 6a ***,Lead O/S,Rory Morris,Phenomenal! Did this in perfect conditions with the backdrop of a glowing red sunset. First E5 and what a good one.,19/Sep/20,Rhoscolyn,Trad,British,Wales
The Strand,E2 5b ***,2nd O/S,Rory Morris,"Early afternoon, chatted to Egg at the base.",19/Sep/20,Gogarth North Stack and Main Cliff,Trad,British,Wales
Resolution Direct,E2 5b ***,AltLd O/S,Rory Morris,"In 2 pitches, I led P1.",19/Sep/20,Gogarth North Stack and Main Cliff,Trad,British,Wales
Electric Blue,E4 5c ***,DWS O/S,Rory Morris,"Done in dying light after blasting it down to Wales with Rory on a Friday evening after work. First E4 and first DWS, amazing!",18/Sep/20,Rhoscolyn,Trad,British,Wales
Lyme Cryme,E3 5c ***,Lead,Sid Sherborne,"Meant to do this as one pitch. Enjoyed the bottom groove, which I didn't feel was particularly bold though I thought it was pretty stiff for the grade. I then misread the rest and ended up finishing up Robert Brown and Debauchery. Need to look at the f***ing topos more clearly!",17/Sep/20,High Tor,Trad,British,England
Cairn,7a  ***,Lead RP,DavidMcK,"Thought this was nails for 7a (even given that it's in the Peak). Need well warmed up fingers for the thin, cruxy and runout! start.",16/Sep/20,Harpur Hill Quarry,Sport,French,England
Ratline,7b+  **,Lead dog,DavidMcK,"Hard, seemed to find more footholds on this than Cairn tho ",16/Sep/20,Harpur Hill Quarry,Sport,French,England
The Dangler,E2 5c ***,Lead O/S,EGriffin,,12/Sep/20,Stanage Popular,Trad,British,England
Tippler Direct,E3 6a ***,Lead G/U,"Alban Luffman, EGriffin","2nd go after getting too pumped on the O/S to commit fully to ""the move"". Pulled ropes and then got it by the absolute skin of my teeth. What a climb!",12/Sep/20,Stanage Popular,Trad,British,England
Tension,VS 4b ***,Lead O/S,EGriffin,Steep but quite juggy,06/Sep/20,Holyhead Mountain,Trad,British,Wales
King Bee Crack,HVS 5a ***,Lead O/S,EGriffin,Sustained and quite traditional. Gear on demand though,06/Sep/20,Holyhead Mountain,Trad,British,Wales
Cursing,VS 4c **,2nd O/S,EGriffin,Brilliant position,06/Sep/20,Holyhead Mountain,Trad,British,Wales
Breaking the Barrier,E1 5b ***,Lead O/S,EGriffin,Brilliant wall climb that keeps you on your toes. Start is unprotected and not trivial,06/Sep/20,Holyhead Mountain,Trad,British,Wales
Under the Boardwalk,6c  ***,Lead RP,EGriffin,"Good to warm up on this, after falling off on my O/S attempt 2 years ago.",05/Sep/20,Lower Pen Trwyn,Sport,French,Wales
Mumbo Jumbo,6a+  **,Lead O/S,EGriffin,,05/Sep/20,Pen Trwyn,Sport,French,Wales
String of Pearls,6b+  ***,Lead O/S,EGriffin,"Brilliantly techy, tenuous climbing",05/Sep/20,Pen Trwyn,Sport,French,Wales
Readers' Wives,7a+  ***,Lead RP,EGriffin,"Quality climb, started up bearded clam.",05/Sep/20,Pen Trwyn,Sport,French,Wales
The Bearded Clam,7a+  ***,Lead RP,EGriffin,Finished up reader's wives,05/Sep/20,Pen Trwyn,Sport,French,Wales
The Quarrywoman,6c  ***,Lead O/S,EGriffin,,31/Aug/20,Penmaen Head,Sport,French,Wales
Pier Pressure - £10 down,6a+  *,Lead β,"EGriffin, Steely12",,31/Aug/20,Penmaen Head,Sport,French,Wales
Retirement Day,6a  *,Lead O/S,"EGriffin, Steely12, lo22",,31/Aug/20,Penmaen Head,Sport,French,Wales
Burden of Dreams,E3 6a ***,AltLd O/S,"EGriffin, Steely12",Great day out with Ed & Dave. 6a Dihedral pitch was absolutely phenomenal!,30/Aug/20,Slieve Beg,Trad,British,Northern Ireland
Slieve Donard summit,summit  ,-,"EGriffin, Steely12",,30/Aug/20,Slieve Donard,Special, ,Northern Ireland
Agag's Wall,VS 4b ***,2nd O/S,"EGriffin, Steely12",,29/Aug/20,Lower Cove,Trad,British,Northern Ireland
Swing Low,E1 5b ***,Lead O/S,"EGriffin, Steely12",,29/Aug/20,Lower Cove,Trad,British,Northern Ireland
Simple Minds,E1 5b *,Lead O/S,EGriffin,Nice route to get on whilst the bigger stuff dried,28/Aug/20,Fair Head,Trad,British,Northern Ireland
Girona,VS 5a ***,Lead O/S,lo22,"Lovely, quality climbing. Done in one pitch in the evening sun.",28/Aug/20,Fair Head,Trad,British,Northern Ireland
Difficility,VS 5a *,2nd O/S,EGriffin,Really quite technical!,26/Aug/20,Hen Mountain,Trad,British,Northern Ireland
East Arete,M  **,Solo O/S,EGriffin,,26/Aug/20,Hen Mountain,Trad,British,Northern Ireland
Sudden Impact,HVS 5b *,2nd &beta;,"EGriffin, Steely12, lo22",Technical and very bold!,26/Aug/20,Hen Mountain,Trad,British,Northern Ireland
Overdue,E2 5c **,Lead O/S,Steely12,,24/Aug/20,Lower Cove,Trad,British,Northern Ireland
FM,VD  ***,AltLd O/S,Steely12,,24/Aug/20,Slieve Lamagan,Trad,British,Northern Ireland
First Corner,HS 4b **,-,lo22,,24/Aug/20,Lower Cove,Trad,British,Northern Ireland
Scoop,V0  *,Sent O/S,"Tishtrya Mehta, EGriffin, Steely12, lo22",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Undercut Rail Direct,V0  ,Sent O/S,"Tishtrya Mehta, EGriffin, Steely12, lo22",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Rhinosaur,V2  **,Sent O/S,"Tishtrya Mehta, EGriffin, Steely12, lo22",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Threads,V0  ,Sent O/S,"Tishtrya Mehta, EGriffin, Steely12, lo22",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Overhanging Wall,V1  *,Sent O/S,"Tishtrya Mehta, EGriffin, Steely12, lo22",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Flatties,V0+  ,Sent O/S,"Tishtrya Mehta, EddieTJ, EGriffin, Steely12",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Breaks,V3+  ,Sent O/S,"EGriffin, Steely12",,23/Aug/20,Bloody Bridge Boulders,Bouldering,Font,Northern Ireland
Axle Attack,7a+  ***,Lead RP,EddieTJ,"Good to get this straight away on the 2nd go, after an exhausted 1st attempt. Quality wall climbing!",15/Aug/20,Pen Trwyn,Sport,French,Wales
Contusion - Mayfair Link,6c+  ***,Lead O/S,EddieTJ,"Amazing, a proper adventure of a sport climb (albeit with some rather sharp holds). ",15/Aug/20,Pen Trwyn,Sport,French,Wales
"I've Been a Bad, Bad Boy",7c+  ***,Lead dnf,EddieTJ,Nice to try this. Didn't quite get to the top. Need to be a fair bit fitter to get through the traverse and need to still try the top move.,15/Aug/20,Lower Pen Trwyn,Sport,French,Wales
Straight Crack,VS 4c **,Lead O/S,"Steely12, lo22",,09/Aug/20,Stanage Popular,Trad,British,England
Cold Turkey,HVS 5a **,Lead β,"Steely12, lo22",Did this on Dave's gear after he hurt himself in a valiant lob misreading the crux,09/Aug/20,Stanage Popular,Trad,British,England
Robin Hood's Right-hand Buttress Direct,HS 4a ***,2nd O/S,"Steely12, lo22",,09/Aug/20,Stanage Popular,Trad,British,England
Night Glue,7a+  ***,Lead β,EddieTJ,"Great to flash this, thanks to Eddie for going ahead of me and doing the hard work of getting clips in and sussing beta.",08/Aug/20,Lower Pen Trwyn,Sport,French,Wales
Axle Attack,7a+  ***,Lead dog,EddieTJ,"Great to get on this, despite the approaching dark and being rather wasted.  
V.interesting, techy moves.",08/Aug/20,Pen Trwyn,Sport,French,Wales
Bananas and Coffee,7a+  *,Lead O/S,EddieTJ,"Bit of a battle given that the bottom was condensed, the middle dusty and the top warm and humid. Good moves nonetheless and a nice intro to the gorge. Thought this was solid 7a, not quite 7a+ but this may be because it's long and pumpy and that's my bag.",08/Aug/20,Pantymwyn (Devil's Gorge),Sport,French,Wales
Lynx,HS 4b ***,2nd O/S,"Steely12, lo22",,07/Aug/20,Wildcat,Trad,British,England
The Link,E1 5b ***,Lead O/S,Sid Sherborne,Great varied route with just about every grit style possible in one pitch.,03/Aug/20,Stanage Popular,Trad,British,England
Twin Chimneys Buttress,VS 4c **,2nd O/S,Steely12,Interesting techy climbing on the face and arete.,03/Aug/20,Stanage Popular,Trad,British,England
Empire Direct,7b+  **,Lead RP,"Brian H, alice fuller",2nd go after sussing the boulder start and getting the clips in on Empire. Nice variation!,29/Jul/20,Anstey's Cove,Sport,French,England
Might and Main,6c+  **,Lead O/S,"Brian H, alice fuller",Lovely excursion with an awesome backdrop of sky and sun. Too many bolts?,29/Jul/20,Anstey's Cove,Sport,French,England
Crook Bruce Hybrid,7a  **,Lead O/S,alice fuller,,29/Jul/20,Anstey's Cove,Sport,French,England
Out of the Blue,E2 5b ***,Lead O/S,alice fuller,"Lovely, steady wall climbing on good holds.",28/Jul/20,Lower Sharpnose Point,Trad,British,England
Diamond Smiles,E3 5c ***,Lead O/S,alice fuller,"Amazing climb! Found the bottom moves quite hard and the gear a bit fiddly but once through, it got better and better. Loved the upper wall, wasn't much chalk there so felt like a proper adventure.",28/Jul/20,Lower Sharpnose Point,Trad,British,England
Boss of Choss,6b  *,Lead O/S,alice fuller,Quite nice and not actually that chossy!,26/Jul/20,Anstey's Cove,Sport,French,England
Empire of the Sun,7b  ***,Lead RP,alice fuller,"3rd go. Great, sustained route with 2 memorable cruxy sections.",26/Jul/20,Anstey's Cove,Sport,French,England
Mitre Direct,7a+  **,Lead RP,alice fuller,"2nd go. Good bouldery start and some funky, adventurous 3d climbing higher up. ",26/Jul/20,Anstey's Cove,Sport,French,England
Arch Rival,7a  *,Lead rpt,JayAyBee,,12/Jul/20,Dovedale,Sport,French,England
The Lime Arch,6b+  ***,Lead rpt,JayAyBee,,12/Jul/20,Dovedale,Sport,French,England
The Lime Arch,6b+  ***,Lead rpt,EddieTJ,,01/Jul/20,Dovedale,Sport,French,England
Arch Enemies,7c+  ***,Lead dog,EddieTJ,"Good to get on this again, now nearly have it down to 2 parts. Thanks to Eddie for helping refine the beta and helping me believe it will go, perhaps even quite soon.",01/Jul/20,Dovedale,Sport,French,England
Claw Left-Hand,E1 5b **,Lead dog,"lo22, Steely12",Found this utterly desperate and quite a shock coming back to trad post-lockdown,28/Jun/20,Dovedale,Trad,British,England
Hen Cloud Eliminate,HVS 5b ***,Lead O/S,DavidMcK,"Nice, physical reintroduction to grit trad after much much sport climbing. Felt easier than BLH to me!",22/Jun/20,Hen Cloud,Trad,British,England
Central Climb,VS 4c ***,2nd O/S,DavidMcK,Lovely climb with some tricky steps - definitely not a soft touch.,22/Jun/20,Hen Cloud,Trad,British,England
Bachelor's Left-hand,HVS 5b ***,2nd O/S,DavidMcK,Great route but felt solid to me. Too much time pulling on lime edges and not squirming and smearing on grit.,22/Jun/20,Hen Cloud,Trad,British,England
Arch Rival,7a  *,Lead RP,"lo22, Steely12",2nd go after a flash attempt. Amazing little route with a great crux from the pockets to the chain. Wierd to do this surrounded by tourists.,20/Jun/20,Dovedale,Sport,French,England
Arch Enemies,7c+  ***,Lead dog,"lo22, Steely12",Great to scope this out. Awesome (but fierce) climbing. Need to get more than a little stronger to get to redpointing this... I think.,20/Jun/20,Dovedale,Sport,French,England
The Lime Arch,6b+  ***,Lead O/S,"lo22, Steely12",Awesome intro to the arch. Class jug-hauling; a nice change from savagely crimpy peak lime. Was also a very sunny day so almost felt like a day out in Spain!,20/Jun/20,Dovedale,Sport,French,England
That was the River,7b+  **,Lead dog,EddieTJ,Cool route which would be awesome after some traffic and cleaning. Got all the moves but struggled with the powerful one just by the 2nd bolt. ,17/Jun/20,Chee Dale Lower,Sport,French,England
The Plaque,V4+  *,Sent x,"Charlie Henderson, Sid Sherborne, Niamh Gibson",,14/Jun/20,Stanton Moor,Bouldering,Font,England
Corker,V1  *,Sent β,"Charlie Henderson, Sid Sherborne, Niamh Gibson",,14/Jun/20,Stanton Moor,Bouldering,Font,England
The Plaque (No Crack),V6  **,Sent x,"Charlie Henderson, Sid Sherborne, Niamh Gibson","Cool, burly and knacky.",14/Jun/20,Stanton Moor,Bouldering,Font,England
My Left Foot,V3  **,Sent O/S,"Charlie Henderson, Sid Sherborne, Niamh Gibson",,14/Jun/20,Stanton Moor,Bouldering,Font,England
Open Gate,7a+  ***,Lead RP,"James Cutler, JayAyBee, Daniel Grout","3rd go. Awesome exposure at the top, unusual for a peak sport route.",13/Jun/20,Chee Dale Upper,Sport,French,England
Rising Sap,6b+  ,Lead β,"James Cutler, JayAyBee, Daniel Grout",Nice but rather stiff warmup.,13/Jun/20,Chee Dale Upper,Sport,French,England
Subterfuge,6c  *,Lead RP,"James Cutler, JayAyBee, Daniel Grout",Powerful start! Took me 3 - 4 attempts.,13/Jun/20,Chee Dale Upper,Sport,French,England
Quality Control,7a  **,Lead O/S,"James Cutler, JayAyBee, Daniel Grout",1st 7a o/s in the peak.,13/Jun/20,Chee Dale Upper,Sport,French,England
Up the River Without a Paddle,7a  **,Lead G/U,EddieTJ,"Would have been nice to O/S but misread the crucial starting boulder. Lovely route, despite looking like a sea-bed from below!",10/Jun/20,Chee Dale Lower,Sport,French,England
Armistice Day,7a+  **,Lead RP,EddieTJ,Got this quick today after realising that I was using utterly shit beta for the headwall. Helped that I tweaked the kneebar to make it even more comfortably hands-off.,10/Jun/20,Chee Dale Lower,Sport,French,England
The Spiders from Mars,6b  *,Lead O/S,EddieTJ,"Worryingly loose ""seeming"" but nothing actually moved even tho it felt like every hold could have. Very interesting climbing until 3/4 height, then really chossy and quite scary to the chain.",10/Jun/20,Chee Dale Lower,Sport,French,England
